('1', '11')
('39', '693')
('41', '48')
('41', '348')
('41', '352')
('41', '533')
('41', '693')
('41', '1056')
('48', '348')
('48', '352')
('48', '454')
('48', '533')
('48', '693')
('38', '39')
('38', '249')
('38', '371')
('38', '740')
('39', '249')
('39', '371')
('39', '740')
('48', '571')
('48', '681')
('48', '803')
('48', '967')
('48', '970')
('48', '1031')
('48', '1060')
('48', '1062')
('967', '1060')
('32', '38')
('32', '48')
('32', '170')
('32', '186')
('32', '413')
('32', '475')
('32', '548')
('32', '636')
('32', '1069')
('32', '1070')
('38', '48')
('38', '170')
('38', '186')
('38', '365')
('38', '413')
('38', '475')
('38', '548')
('38', '636')
('38', '1067')
('38', '1068')
('38', '1069')
('38', '1070')
('48', '170')
('48', '186')
('48', '365')
('48', '413')
('48', '475')
('48', '548')
('48', '636')
('48', '1067')
('48', '1068')
('48', '1069')
('170', '475')
('186', '413')
('186', '1068')
('365', '1065')
('475', '636')
('636', '1070')
('39', '1072')
('48', '77')
('48', '101')
('48', '242')
('48', '571')
('48', '616')
('48', '1081')
('48', '1082')
('48', '1089')
('101', '1079')
('101', '1080')
('101', '1082')
('571', '616')
('1079', '1080')
('39', '48')
('39', '255')
('39', '493')
('39', '1090')
('48', '255')
('48', '493')
('48', '1090')
('255', '493')
('38', '39')
('38', '48')
('38', '504')
('39', '48')
('39', '328')
('39', '504')
('39', '984')
('39', '1091')
('48', '328')
('48', '504')
('48', '984')
('48', '260')
('48', '665')
('39', '41')
('39', '48')
('39', '956')
('39', '1031')
('39', '1094')
('41', '48')
('41', '956')
('41', '1094')
('48', '956')
('48', '1031')
('48', '1094')
('38', '170')
('38', '885')
('38', '1095')
('39', '48')
('39', '828')
('39', '1104')
('39', '1105')
('39', '1107')
('39', '1110')
('48', '828')
('48', '1104')
('48', '1105')
('38', '39')
('38', '48')
('38', '170')
('39', '48')
('39', '170')
('48', '170')
('38', '39')
('38', '41')
('38', '390')
('39', '41')
('39', '390')
('39', '1112')
('41', '390')
('41', '1112')
('38', '39')
('38', '41')
('38', '72')
('38', '105')
('38', '208')
('38', '346')
('38', '535')
('38', '1124')
('39', '41')
('39', '72')
('39', '105')
('39', '208')
('39', '346')
('39', '535')
('39', '1121')
('39', '1124')
('39', '1128')
('41', '105')
('41', '208')
('41', '346')
('41', '535')
('41', '1121')
('72', '1124')
('39', '41')
('39', '48')
('39', '75')
('39', '1000')
('39', '1129')
('39', '1130')
('41', '48')
('41', '1000')
('41', '1130')
('48', '75')
('48', '1000')
('48', '1130')
('32', '976')
('32', '1013')
('32', '1135')
('32', '1137')
('32', '1138')
('39', '249')
('39', '1140')
('39', '1142')
('39', '1144')
('0', '39')
('0', '48')
('39', '48')
('38', '370')
('39', '48')
('39', '155')
('39', '721')
('39', '766')
('39', '1062')
('39', '1145')
('48', '155')
('48', '721')
('48', '766')
('48', '1062')
('48', '1145')
('155', '1062')
('32', '38')
('32', '39')
('32', '41')
('32', '48')
('32', '110')
('32', '548')
('32', '1147')
('38', '39')
('38', '41')
('38', '48')
('38', '110')
('38', '548')
('38', '1146')
('39', '41')
('39', '48')
('39', '110')
('39', '548')
('39', '1146')
('41', '48')
('41', '110')
('41', '548')
('41', '1146')
('48', '110')
('48', '548')
('48', '1146')
('110', '1146')
('36', '38')
('36', '39')
('36', '41')
('36', '48')
('36', '441')
('36', '740')
('36', '809')
('38', '39')
('38', '41')
('38', '48')
('38', '55')
('38', '441')
('38', '561')
('38', '740')
('38', '796')
('38', '797')
('38', '809')
('38', '885')
('38', '956')
('38', '1154')
('38', '1155')
('39', '41')
('39', '48')
('39', '55')
('39', '332')
('39', '441')
('39', '561')
('39', '740')
('39', '796')
('39', '797')
('39', '809')
('39', '885')
('39', '910')
('39', '956')
('39', '1153')
('39', '1154')
('39', '1155')
('41', '48')
('41', '55')
('41', '441')
('41', '561')
('41', '740')
('41', '796')
('41', '797')
('41', '809')
('41', '885')
('41', '956')
('41', '1153')
('41', '1154')
('41', '1155')
('48', '55')
('48', '332')
('48', '441')
('48', '561')
('48', '740')
('48', '796')
('48', '797')
('48', '809')
('48', '885')
('48', '910')
('48', '956')
('48', '1153')
('48', '1154')
('48', '1155')
('441', '561')
('441', '796')
('441', '797')
('441', '809')
('441', '885')
('561', '796')
('561', '797')
('796', '797')
('797', '809')
('797', '1153')
('797', '1154')
('809', '885')
('809', '1154')
('910', '956')
('1153', '1154')
('36', '38')
('36', '48')
('36', '255')
('38', '48')
('38', '255')
('38', '859')
('38', '1161')
('48', '255')
('48', '859')
('48', '1159')
('48', '1160')
('48', '1161')
('39', '48')
('39', '1003')
('39', '1163')
('48', '1003')
('48', '1163')
('39', '48')
('39', '1166')
('38', '39')
('38', '41')
('38', '48')
('38', '105')
('38', '1173')
('39', '41')
('39', '48')
('39', '105')
('39', '1173')
('41', '48')
('41', '105')
('41', '1173')
('48', '105')
('48', '1173')
('105', '1173')
('32', '39')
('48', '251')
('48', '694')
('48', '809')
('48', '1144')
('48', '1174')
('48', '1176')
('48', '1179')
('48', '1180')
('809', '1144')
('48', '766')
('48', '781')
('39', '48')
('39', '237')
('39', '493')
('39', '676')
('39', '952')
('39', '1145')
('39', '1184')
('39', '1185')
('48', '237')
('48', '493')
('48', '676')
('48', '952')
('48', '1145')
('237', '493')
('676', '952')
('39', '48')
('39', '192')
('48', '192')
('38', '39')
('38', '41')
('38', '161')
('38', '978')
('38', '1188')
('38', '1190')
('39', '41')
('39', '161')
('39', '978')
('39', '1187')
('39', '1188')
('39', '1190')
('41', '161')
('41', '978')
('41', '1188')
('39', '48')
('39', '123')
('39', '220')
('39', '475')
('39', '677')
('39', '1191')
('39', '1194')
('48', '123')
('48', '220')
('48', '475')
('48', '677')
('48', '1194')
('123', '475')
('220', '677')
('39', '48')
('39', '730')
('39', '987')
('39', '1196')
('48', '730')
('48', '987')
('48', '1196')
('730', '987')
('65', '201')
('65', '522')
('65', '694')
('65', '1198')
('201', '1198')
('694', '1198')
('1198', '1206')
('32', '38')
('32', '41')
('32', '110')
('38', '41')
('38', '110')
('38', '1214')
('41', '110')
('41', '597')
('41', '1214')
('23', '39')
('23', '48')
('23', '101')
('39', '48')
('39', '101')
('39', '255')
('39', '604')
('39', '814')
('39', '1031')
('39', '1216')
('48', '101')
('48', '255')
('48', '604')
('48', '814')
('48', '1031')
('48', '1216')
('101', '255')
('101', '604')
('255', '604')
('604', '1031')
('208', '270')
('38', '39')
('38', '41')
('38', '48')
('38', '357')
('38', '533')
('38', '790')
('38', '993')
('38', '1067')
('38', '1155')
('38', '1232')
('38', '1233')
('38', '1239')
('39', '41')
('39', '48')
('39', '357')
('39', '397')
('39', '533')
('39', '661')
('39', '674')
('39', '790')
('39', '993')
('39', '1082')
('39', '1155')
('39', '1230')
('39', '1232')
('39', '1233')
('39', '1235')
('39', '1236')
('39', '1239')
('39', '1242')
('41', '48')
('41', '357')
('41', '533')
('41', '661')
('41', '790')
('41', '1082')
('41', '1155')
('41', '1233')
('41', '1235')
('41', '1239')
('48', '357')
('48', '533')
('48', '661')
('48', '674')
('48', '790')
('48', '993')
('48', '1067')
('48', '1082')
('48', '1155')
('48', '1229')
('48', '1230')
('48', '1233')
('48', '1235')
('48', '1236')
('48', '1239')
('357', '533')
('357', '1233')
('533', '1233')
('661', '674')
('790', '1233')
('1082', '1233')
('32', '39')
('32', '43')
('32', '48')
('32', '117')
('32', '441')
('32', '475')
('32', '550')
('32', '789')
('32', '1248')
('39', '43')
('39', '48')
('39', '67')
('39', '117')
('39', '441')
('39', '475')
('39', '550')
('39', '665')
('39', '789')
('39', '1248')
('39', '1249')
('43', '48')
('43', '550')
('48', '67')
('48', '117')
('48', '441')
('48', '475')
('48', '550')
('48', '665')
('48', '789')
('48', '1248')
('48', '1249')
('48', '1251')
('67', '789')
('117', '441')
('117', '550')
('117', '1249')
('441', '550')
('475', '550')
('475', '1249')
('550', '1249')
('38', '170')
('39', '48')
('39', '677')
('39', '834')
('39', '1252')
('39', '1254')
('39', '1255')
('39', '1258')
('39', '1259')
('39', '1260')
('48', '677')
('48', '834')
('48', '1160')
('48', '1180')
('48', '1254')
('48', '1258')
('48', '1259')
('48', '1260')
('649', '825')
('825', '1264')
('39', '1267')
('39', '41')
('39', '48')
('39', '1269')
('41', '48')
('41', '1269')
('48', '1272')
('39', '48')
('39', '60')
('39', '200')
('39', '208')
('39', '676')
('39', '713')
('39', '952')
('39', '1274')
('39', '1275')
('48', '60')
('48', '200')
('48', '208')
('48', '676')
('48', '713')
('48', '952')
('48', '1274')
('48', '1275')
('60', '1274')
('208', '1275')
('676', '952')
('36', '38')
('36', '41')
('36', '338')
('36', '340')
('38', '41')
('38', '338')
('38', '340')
('38', '1280')
('38', '1282')
('41', '338')
('41', '340')
('41', '565')
('41', '1277')
('41', '1280')
('41', '1281')
('41', '1282')
('39', '48')
('39', '1153')
('39', '1154')
('48', '1153')
('48', '1154')
('48', '1285')
('1153', '1154')
('48', '152')
('48', '189')
('48', '255')
('48', '525')
('48', '938')
('48', '1012')
('48', '1290')
('48', '1291')
('151', '152')
('1012', '1291')
('39', '41')
('39', '48')
('41', '48')
('38', '39')
('38', '41')
('38', '48')
('38', '110')
('38', '271')
('38', '1146')
('39', '41')
('39', '48')
('39', '110')
('39', '271')
('39', '1146')
('41', '48')
('41', '110')
('41', '271')
('41', '1146')
('48', '110')
('48', '271')
('48', '1146')
('110', '1146')
('48', '1293')
('39', '48')
('39', '824')
('39', '1297')
('39', '1300')
('39', '1301')
('39', '1302')
('39', '1303')
('39', '1307')
('48', '824')
('48', '1297')
('48', '1307')
('1300', '1301')
('1300', '1302')
('1300', '1303')
('1301', '1302')
('1301', '1303')
('1302', '1303')
('37', '38')
('37', '39')
('37', '41')
('37', '48')
('38', '39')
('38', '41')
('38', '48')
('38', '76')
('38', '445')
('38', '587')
('38', '739')
('38', '1309')
('39', '41')
('39', '48')
('39', '76')
('39', '445')
('39', '558')
('39', '587')
('39', '739')
('39', '973')
('39', '1313')
('39', '1314')
('39', '1315')
('41', '48')
('41', '76')
('41', '445')
('41', '587')
('41', '739')
('41', '973')
('41', '1313')
('41', '1315')
('48', '76')
('48', '445')
('48', '558')
('48', '587')
('48', '739')
('48', '1313')
('48', '1315')
('76', '558')
('39', '48')
('39', '49')
('39', '98')
('39', '123')
('39', '237')
('39', '285')
('39', '475')
('39', '1135')
('39', '1316')
('39', '1317')
('39', '1318')
('39', '1319')
('39', '1322')
('39', '1327')
('48', '49')
('48', '98')
('48', '123')
('48', '237')
('48', '285')
('48', '475')
('48', '1135')
('48', '1317')
('48', '1318')
('48', '1319')
('48', '1320')
('48', '1322')
('48', '1327')
('49', '475')
('49', '1316')
('123', '237')
('123', '475')
('123', '1327')
('237', '1327')
('475', '1316')
('475', '1317')
('475', '1318')
('475', '1327')
('32', '185')
('41', '48')
('41', '123')
('41', '222')
('41', '255')
('41', '1336')
('41', '1337')
('41', '1343')
('48', '123')
('48', '222')
('48', '255')
('48', '1336')
('48', '1337')
('48', '1338')
('48', '1339')
('48', '1342')
('48', '1343')
('123', '255')
('123', '1343')
('255', '1343')
('1338', '1339')
('39', '48')
('39', '479')
('39', '1344')
('39', '1345')
('48', '479')
('48', '1344')
('48', '1345')
('41', '48')
('41', '123')
('41', '255')
('41', '413')
('41', '425')
('41', '622')
('41', '727')
('41', '789')
('41', '1343')
('41', '1347')
('41', '1349')
('41', '1352')
('48', '123')
('48', '255')
('48', '413')
('48', '425')
('48', '586')
('48', '622')
('48', '727')
('48', '789')
('48', '1049')
('48', '1343')
('48', '1347')
('48', '1348')
('48', '1349')
('48', '1350')
('48', '1352')
('123', '255')
('123', '1343')
('255', '789')
('255', '1049')
('255', '1343')
('413', '789')
('39', '48')
('39', '1173')
('39', '1353')
('48', '1173')
('38', '110')
('38', '1354')
('39', '41')
('39', '95')
('39', '101')
('39', '308')
('39', '309')
('39', '374')
('39', '433')
('39', '685')
('39', '741')
('39', '743')
('39', '753')
('39', '860')
('39', '898')
('39', '979')
('39', '1080')
('39', '1153')
('39', '1154')
('39', '1269')
('39', '1360')
('39', '1361')
('39', '1362')
('39', '1363')
('39', '1368')
('39', '1372')
('39', '1373')
('39', '1378')
('39', '1379')
('39', '1380')
('39', '1384')
('39', '1385')
('41', '95')
('41', '101')
('41', '309')
('41', '374')
('41', '433')
('41', '685')
('41', '741')
('41', '743')
('41', '979')
('41', '1080')
('41', '1153')
('41', '1154')
('41', '1269')
('41', '1360')
('41', '1361')
('41', '1363')
('41', '1379')
('41', '1380')
('41', '1384')
('41', '1385')
('95', '101')
('101', '898')
('101', '1079')
('101', '1080')
('308', '309')
('308', '1269')
('309', '1080')
('309', '1379')
('309', '1380')
('374', '753')
('741', '743')
('1079', '1080')
('1080', '1379')
('1080', '1380')
('1153', '1154')
('1153', '1384')
('1153', '1385')
('1154', '1384')
('1154', '1385')
('1362', '1368')
('1378', '1380')
('1379', '1380')
('1384', '1385')
('39', '48')
('39', '334')
('39', '740')
('39', '987')
('39', '1387')
('39', '1390')
('48', '334')
('48', '740')
('48', '987')
('48', '1387')
('48', '1390')
('334', '740')
('38', '39')
('38', '170')
('38', '842')
('39', '170')
('39', '842')
('38', '39')
('38', '48')
('38', '286')
('38', '1392')
('39', '48')
('39', '286')
('39', '1392')
('48', '286')
('48', '1392')
('39', '1368')
('39', '1393')
('38', '48')
('38', '170')
('48', '170')
('39', '751')
('39', '48')
('39', '729')
('39', '759')
('39', '1236')
('39', '1396')
('39', '1402')
('48', '729')
('48', '759')
('48', '1236')
('48', '1396')
('48', '1399')
('48', '1402')
('58', '1404')
('101', '522')
('101', '824')
('522', '824')
('749', '1409')
('36', '38')
('36', '41')
('36', '255')
('36', '264')
('38', '41')
('38', '255')
('38', '264')
('41', '255')
('41', '264')
('41', '1411')
('39', '48')
('39', '1414')
('48', '1414')
('39', '521')
('39', '622')
('67', '68')
('38', '39')
('38', '41')
('38', '48')
('38', '101')
('38', '170')
('38', '475')
('38', '714')
('38', '1318')
('38', '1424')
('38', '1425')
('39', '41')
('39', '48')
('39', '101')
('39', '170')
('39', '475')
('39', '714')
('39', '856')
('39', '1318')
('39', '1421')
('39', '1423')
('39', '1424')
('39', '1425')
('41', '48')
('41', '101')
('41', '170')
('41', '475')
('41', '714')
('41', '1421')
('41', '1424')
('41', '1425')
('48', '101')
('48', '170')
('48', '475')
('48', '714')
('48', '856')
('48', '1318')
('48', '1421')
('48', '1423')
('48', '1424')
('48', '1425')
('101', '170')
('170', '475')
('170', '714')
('475', '1318')
('39', '248')
('39', '1043')
('39', '1281')
('39', '1428')
('39', '1430')
('39', '48')
('39', '95')
('39', '195')
('39', '208')
('39', '213')
('39', '809')
('39', '1216')
('39', '1433')
('39', '1435')
('48', '95')
('48', '195')
('48', '208')
('48', '213')
('48', '809')
('48', '1216')
('48', '1433')
('48', '1435')
('195', '809')
('39', '264')
('39', '464')
('39', '616')
('39', '750')
('39', '973')
('39', '1439')
('39', '1440')
('39', '41')
('39', '48')
('39', '739')
('39', '824')
('41', '48')
('41', '739')
('41', '824')
('48', '739')
('48', '824')
('39', '48')
('39', '1446')
('48', '188')
('48', '1446')
('39', '45')
('39', '48')
('39', '89')
('39', '334')
('45', '48')
('45', '89')
('48', '89')
('48', '334')
('39', '334')
('581', '1387')
('38', '39')
('38', '840')
('38', '859')
('38', '1463')
('38', '1464')
('39', '290')
('39', '840')
('39', '859')
('39', '1463')
('39', '1464')
('1463', '1464')
('10', '39')
('10', '48')
('39', '48')
('39', '49')
('39', '1004')
('39', '1142')
('39', '1258')
('39', '1465')
('39', '1468')
('39', '1469')
('39', '1470')
('48', '49')
('48', '1004')
('48', '1258')
('48', '1465')
('48', '1468')
('48', '1469')
('48', '1470')
('49', '1004')
('49', '1468')
('32', '39')
('32', '41')
('32', '48')
('32', '310')
('32', '604')
('32', '1477')
('32', '1479')
('32', '1481')
('39', '41')
('39', '48')
('39', '301')
('39', '310')
('39', '604')
('39', '1082')
('39', '1472')
('39', '1473')
('39', '1474')
('39', '1475')
('39', '1477')
('39', '1479')
('39', '1481')
('41', '48')
('41', '301')
('41', '310')
('41', '604')
('41', '1082')
('41', '1277')
('41', '1474')
('41', '1479')
('41', '1481')
('48', '301')
('48', '310')
('48', '604')
('48', '1082')
('48', '1475')
('48', '1477')
('48', '1479')
('48', '1481')
('310', '604')
('310', '1082')
('310', '1479')
('310', '1481')
('719', '1473')
('1475', '1479')
('1479', '1481')
('36', '38')
('36', '39')
('38', '39')
('38', '270')
('39', '270')
('39', '1129')
('39', '41')
('39', '184')
('39', '204')
('39', '1387')
('39', '1465')
('39', '1484')
('39', '1485')
('41', '184')
('41', '1465')
('41', '1484')
('38', '39')
('38', '60')
('38', '371')
('39', '60')
('39', '371')
('39', '1488')
('60', '371')
('36', '38')
('36', '48')
('38', '48')
('38', '381')
('38', '1489')
('48', '381')
('48', '1489')
('39', '41')
('39', '48')
('39', '381')
('41', '48')
('41', '381')
('48', '381')
('39', '48')
('39', '269')
('39', '1163')
('39', '1446')
('39', '1495')
('39', '1498')
('48', '269')
('48', '1163')
('48', '1446')
('48', '1494')
('48', '1495')
('48', '1498')
('39', '332')
('39', '1501')
('39', '41')
('39', '248')
('39', '673')
('39', '1191')
('41', '248')
('41', '673')
('32', '136')
('32', '548')
('32', '1503')
('136', '548')
('548', '549')
('39', '302')
('39', '1166')
('39', '1191')
('39', '48')
('39', '49')
('39', '1508')
('48', '49')
('30', '39')
('30', '41')
('30', '48')
('39', '41')
('39', '48')
('39', '593')
('39', '1235')
('39', '1513')
('39', '1517')
('41', '48')
('41', '1235')
('41', '1513')
('48', '593')
('48', '1235')
('48', '1513')
('48', '1516')
('38', '39')
('38', '48')
('38', '49')
('38', '56')
('38', '334')
('38', '740')
('39', '48')
('39', '49')
('39', '56')
('39', '334')
('39', '740')
('39', '1402')
('39', '1520')
('48', '49')
('48', '56')
('48', '334')
('48', '740')
('48', '1402')
('48', '1520')
('49', '56')
('334', '740')
('48', '1524')
('38', '48')
('38', '68')
('38', '76')
('38', '504')
('48', '67')
('48', '68')
('48', '76')
('48', '504')
('48', '612')
('48', '789')
('67', '68')
('67', '789')
('76', '612')
('39', '195')
('39', '1140')
('38', '170')
('38', '1529')
('39', '48')
('39', '264')
('39', '423')
('39', '1004')
('39', '1104')
('39', '1530')
('48', '264')
('48', '423')
('48', '1004')
('48', '1104')
('48', '1530')
('32', '39')
('39', '1532')
('39', '48')
('39', '174')
('39', '441')
('39', '801')
('39', '1535')
('39', '1536')
('48', '174')
('48', '441')
('48', '801')
('48', '1536')
('441', '801')
('156', '310')
('39', '48')
('39', '714')
('39', '1307')
('39', '1436')
('39', '1530')
('39', '1541')
('39', '1543')
('48', '714')
('48', '1307')
('48', '1436')
('48', '1530')
('48', '1543')
('9', '38')
('9', '39')
('9', '48')
('9', '170')
('38', '39')
('38', '48')
('38', '65')
('38', '155')
('38', '170')
('38', '420')
('38', '479')
('38', '589')
('38', '778')
('38', '824')
('38', '1342')
('38', '1433')
('39', '48')
('39', '65')
('39', '155')
('39', '170')
('39', '408')
('39', '420')
('39', '479')
('39', '589')
('39', '778')
('39', '824')
('39', '1062')
('39', '1267')
('39', '1342')
('39', '1433')
('39', '1547')
('48', '65')
('48', '155')
('48', '170')
('48', '408')
('48', '420')
('48', '479')
('48', '589')
('48', '778')
('48', '824')
('48', '1062')
('48', '1342')
('48', '1433')
('48', '1547')
('65', '170')
('65', '589')
('65', '1342')
('155', '589')
('155', '1062')
('155', '1433')
('170', '420')
('170', '589')
('170', '824')
('170', '1342')
('408', '420')
('778', '824')
('39', '48')
('39', '49')
('48', '49')
('39', '41')
('39', '1556')
('39', '1557')
('41', '1557')
('39', '48')
('39', '242')
('48', '242')
('101', '522')
('101', '824')
('522', '525')
('522', '778')
('522', '824')
('778', '824')
('101', '794')
('101', '824')
('32', '39')
('32', '48')
('32', '381')
('32', '1135')
('32', '1344')
('32', '1564')
('39', '48')
('39', '141')
('39', '381')
('39', '910')
('39', '1135')
('39', '1344')
('39', '1564')
('48', '141')
('48', '381')
('48', '910')
('48', '1135')
('48', '1174')
('48', '1344')
('48', '1564')
('39', '793')
('39', '915')
('39', '41')
('39', '94')
('39', '198')
('39', '340')
('39', '548')
('39', '677')
('39', '1347')
('39', '1575')
('39', '1576')
('39', '1577')
('41', '94')
('41', '340')
('41', '548')
('41', '677')
('41', '1347')
('41', '1576')
('94', '1569')
('548', '1577')
('39', '185')
('39', '261')
('39', '1291')
('39', '1578')
('32', '39')
('32', '41')
('32', '48')
('32', '533')
('32', '592')
('32', '749')
('32', '1585')
('39', '41')
('39', '48')
('39', '425')
('39', '533')
('39', '592')
('39', '723')
('39', '749')
('39', '1313')
('39', '1322')
('39', '1585')
('39', '1588')
('39', '1589')
('41', '48')
('41', '425')
('41', '533')
('41', '592')
('41', '723')
('41', '749')
('41', '1313')
('41', '1585')
('41', '1588')
('41', '1589')
('48', '425')
('48', '533')
('48', '592')
('48', '723')
('48', '749')
('48', '1313')
('48', '1322')
('48', '1585')
('48', '1589')
('36', '38')
('36', '39')
('36', '41')
('36', '89')
('38', '39')
('38', '41')
('38', '89')
('38', '384')
('38', '479')
('38', '535')
('38', '1590')
('38', '1591')
('39', '41')
('39', '89')
('39', '288')
('39', '384')
('39', '479')
('39', '535')
('39', '611')
('39', '966')
('39', '1590')
('39', '1591')
('39', '1592')
('39', '1593')
('39', '1598')
('41', '89')
('41', '288')
('41', '384')
('41', '535')
('41', '611')
('41', '1590')
('41', '1591')
('41', '1592')
('41', '1598')
('89', '384')
('89', '535')
('89', '1598')
('384', '966')
('1593', '1596')
('38', '41')
('38', '48')
('38', '170')
('41', '48')
('41', '170')
('41', '904')
('41', '1264')
('41', '1600')
('41', '1601')
('48', '170')
('48', '825')
('48', '904')
('48', '1264')
('48', '1601')
('825', '1264')
('38', '39')
('38', '41')
('38', '110')
('38', '170')
('38', '1609')
('39', '41')
('39', '110')
('39', '170')
('39', '1609')
('41', '110')
('41', '170')
('48', '1611')
('38', '39')
('38', '371')
('38', '1609')
('39', '371')
('39', '1609')
('38', '48')
('38', '170')
('48', '170')
('39', '48')
('39', '246')
('39', '550')
('39', '734')
('39', '930')
('39', '1146')
('39', '1615')
('48', '246')
('48', '550')
('48', '734')
('48', '930')
('48', '1146')
('48', '1615')
('39', '41')
('39', '255')
('39', '259')
('39', '340')
('39', '396')
('39', '535')
('39', '986')
('39', '1014')
('39', '1135')
('39', '1353')
('41', '255')
('41', '259')
('41', '340')
('41', '396')
('41', '535')
('41', '974')
('41', '1014')
('41', '1135')
('255', '259')
('259', '396')
('259', '1135')
('340', '396')
('340', '974')
('340', '1135')
('535', '986')
('39', '41')
('39', '48')
('39', '60')
('39', '155')
('39', '182')
('39', '246')
('39', '535')
('39', '589')
('39', '1274')
('39', '1319')
('39', '1629')
('41', '48')
('41', '60')
('41', '155')
('41', '246')
('41', '535')
('41', '589')
('41', '1274')
('41', '1629')
('48', '60')
('48', '155')
('48', '182')
('48', '246')
('48', '535')
('48', '589')
('48', '1274')
('48', '1319')
('48', '1629')
('60', '1274')
('155', '535')
('155', '589')
('36', '38')
('36', '39')
('36', '48')
('38', '39')
('38', '48')
('39', '48')
('39', '1630')
('39', '1631')
('48', '1630')
('48', '1631')
('39', '48')
('39', '49')
('39', '96')
('39', '543')
('39', '639')
('39', '677')
('39', '812')
('39', '924')
('39', '1004')
('39', '1144')
('39', '1414')
('39', '1593')
('39', '1629')
('39', '1634')
('48', '49')
('48', '96')
('48', '543')
('48', '639')
('48', '677')
('48', '812')
('48', '924')
('48', '1004')
('48', '1144')
('48', '1414')
('48', '1629')
('48', '1634')
('48', '1637')
('48', '1638')
('49', '1004')
('639', '677')
('39', '665')
('39', '1484')
('39', '1642')
('39', '48')
('39', '237')
('48', '237')
('39', '41')
('38', '39')
('38', '41')
('38', '48')
('38', '89')
('38', '110')
('38', '592')
('39', '41')
('39', '48')
('39', '89')
('39', '110')
('39', '495')
('39', '592')
('39', '1291')
('39', '1655')
('41', '48')
('41', '89')
('41', '110')
('41', '592')
('41', '1291')
('41', '1655')
('48', '89')
('48', '110')
('48', '495')
('48', '592')
('48', '1291')
('48', '1655')
('89', '110')
('89', '592')
('161', '604')
('161', '1198')
('282', '1024')
('490', '492')
('604', '1024')
('604', '1198')
('604', '1659')
('1198', '1659')
('39', '48')
('39', '61')
('39', '550')
('39', '598')
('39', '866')
('48', '61')
('48', '550')
('48', '598')
('48', '866')
('32', '38')
('32', '39')
('32', '413')
('32', '1672')
('38', '39')
('38', '105')
('38', '413')
('38', '824')
('38', '1363')
('39', '105')
('39', '413')
('39', '824')
('39', '1363')
('39', '1672')
('39', '1679')
('39', '48')
('39', '648')
('39', '1681')
('39', '1683')
('48', '1683')
('39', '41')
('39', '185')
('39', '234')
('39', '1474')
('39', '1690')
('41', '185')
('41', '1474')
('39', '297')
('39', '522')
('39', '544')
('39', '1696')
('39', '1699')
('32', '36')
('32', '38')
('32', '39')
('32', '740')
('36', '38')
('36', '39')
('36', '740')
('38', '39')
('38', '740')
('39', '740')
('38', '39')
('38', '41')
('38', '48')
('38', '89')
('38', '155')
('38', '161')
('38', '604')
('38', '767')
('38', '790')
('38', '1198')
('38', '1233')
('38', '1433')
('38', '1700')
('39', '41')
('39', '48')
('39', '89')
('39', '155')
('39', '161')
('39', '604')
('39', '767')
('39', '790')
('39', '821')
('39', '968')
('39', '1198')
('39', '1233')
('39', '1433')
('39', '1700')
('41', '48')
('41', '89')
('41', '155')
('41', '161')
('41', '604')
('41', '790')
('41', '821')
('41', '968')
('41', '1198')
('41', '1233')
('41', '1433')
('48', '89')
('48', '155')
('48', '161')
('48', '604')
('48', '767')
('48', '790')
('48', '968')
('48', '1198')
('48', '1233')
('48', '1433')
('89', '155')
('89', '604')
('89', '968')
('89', '1233')
('155', '1433')
('161', '604')
('161', '1198')
('604', '1198')
('604', '1233')
('767', '1700')
('790', '1233')
('968', '1233')
('1198', '1233')
('60', '418')
('101', '418')
('101', '544')
('101', '1121')
('418', '640')
('418', '1704')
('640', '1704')
('1113', '1702')
('39', '549')
('39', '961')
('39', '1232')
('39', '1313')
('549', '961')
('38', '41')
('38', '48')
('38', '110')
('38', '533')
('38', '1557')
('38', '1709')
('38', '1713')
('38', '1714')
('38', '1715')
('41', '48')
('41', '110')
('41', '501')
('41', '533')
('41', '1105')
('41', '1557')
('41', '1710')
('48', '110')
('48', '533')
('48', '616')
('48', '653')
('48', '1105')
('48', '1251')
('48', '1710')
('48', '1713')
('48', '1715')
('110', '501')
('110', '533')
('110', '1709')
('39', '41')
('39', '48')
('39', '276')
('39', '336')
('39', '570')
('39', '1130')
('39', '1207')
('39', '1465')
('41', '48')
('41', '336')
('41', '344')
('41', '570')
('41', '1130')
('41', '1465')
('41', '1601')
('48', '276')
('48', '336')
('48', '344')
('48', '570')
('48', '1130')
('48', '1465')
('48', '1601')
('32', '39')
('32', '48')
('39', '48')
('39', '299')
('39', '1011')
('48', '299')
('48', '1011')
('38', '49')
('38', '681')
('38', '1232')
('38', '1727')
('49', '681')
('39', '944')
('39', '1198')
('32', '48')
('48', '862')
('32', '38')
('38', '1590')
('32', '38')
('32', '39')
('32', '41')
('32', '170')
('32', '271')
('32', '740')
('32', '1138')
('38', '39')
('38', '41')
('38', '170')
('38', '271')
('38', '740')
('38', '1138')
('38', '1696')
('39', '41')
('39', '170')
('39', '271')
('39', '740')
('39', '1138')
('39', '1696')
('41', '170')
('41', '271')
('41', '740')
('41', '1138')
('41', '1696')
('170', '271')
('170', '740')
('32', '41')
('32', '48')
('32', '677')
('32', '1736')
('32', '1739')
('41', '48')
('41', '485')
('41', '677')
('41', '1274')
('41', '1352')
('41', '1736')
('48', '485')
('48', '542')
('48', '677')
